Store,Date,Forecast_Weekly_Sales,Lower_80CI,Upper_80CI,Tier
1,2012-11-02,1693357.9034823282,1609964.528626968,1765524.8770104863,High-Volume
1,2012-11-09,1620154.2620133664,1548201.678119037,1702232.1649361937,High-Volume
1,2012-11-16,1594744.9248437164,1502069.7854639122,1675501.2786562007,High-Volume
1,2012-11-23,2073905.2634328739,1988714.299416082,2166171.687311992,High-Volume
1,2012-11-30,1653564.8786389558,1576795.6526502268,1757749.581251383,High-Volume
1,2012-12-07,1814152.5540584512,1736127.0703925556,1910909.7698416053,High-Volume
1,2012-12-14,1982550.4315368235,1902448.4501944936,2078477.1981465535,High-Volume
1,2012-12-21,2448516.315431767,2359516.542806806,2547139.0177535275,High-Volume
1,2012-12-28,1509115.970494089,1445917.422806017,1602412.450490488,High-Volume
1,2013-01-04,1577889.837499164,1496033.194592177,1666205.3606215178,High-Volume
1,2013-01-11,1512378.1636411517,1428788.8450558814,1599024.16586449,High-Volume
1,2013-01-18,1448781.7982594394,1360626.1439847646,1532944.0240245545,High-Volume
2,2012-11-02,2019097.5600741887,1914288.2570944105,2124534.089871154,High-Volume
2,2012-11-09,1994840.8213637893,1896336.3249991122,2099820.446349729,High-Volume
2,2012-11-16,2023960.7893565448,1920748.4752956622,2135870.0948132626,High-Volume
2,2012-11-23,2733057.367493386,2597519.430631408,2835138.935804671,High-Volume
2,2012-11-30,2090910.1624516794,1964752.7255898092,2221105.7713275026,High-Volume
2,2012-12-07,2452285.133858656,2337462.590190255,2581909.072587683,High-Volume
2,2012-12-14,2667200.3817547713,2536689.5130393696,2799380.723367367,High-Volume
2,2012-12-21,3493343.6134008914,3347981.5968038146,3640992.6343234135,High-Volume
2,2012-12-28,1893736.7206313002,1727313.04202093,2026636.098432907,High-Volume
2,2013-01-04,1881106.2882913402,1687247.2434792272,2032643.0829515273,High-Volume
2,2013-01-11,1858662.1075647767,1666982.520141954,2009839.2368596676,High-Volume
2,2013-01-18,1858756.9802641605,1656657.1663566236,2036233.4646026911,High-Volume
3,2012-11-02,478763.98684548057,449435.35728999815,509177.47624878766,Mid-Volume
3,2012-11-09,440557.5983270543,412918.5327800607,466914.90340476006,Mid-Volume
3,2012-11-16,426960.9417542804,395630.54720254586,455571.0375708462,Mid-Volume
3,2012-11-23,616447.6515894553,586963.117425187,649179.124429786,Mid-Volume
3,2012-11-30,528289.6300539426,494871.33970152773,556478.8630183206,Mid-Volume
3,2012-12-07,520205.7094695602,479873.6668872735,553086.6910838942,Mid-Volume
3,2012-12-14,551531.1566070543,520263.462335197,582291.5036098346,Mid-Volume
3,2012-12-21,652540.0318589144,617249.3109728057,684905.697561494,Mid-Volume
3,2012-12-28,438118.96842909604,400133.56846222037,467474.64818276465,Mid-Volume
3,2013-01-04,432260.2496285605,395119.3936438278,465985.12005072855,Mid-Volume
3,2013-01-11,431201.80303990043,392605.7547776441,466313.8550201081,Mid-Volume
3,2013-01-18,403917.23297584854,365789.0507913154,442434.85185007955,Mid-Volume
4,2012-11-02,2260371.7855446264,2166060.3764453274,2374941.6731590354,High-Volume
4,2012-11-09,2240510.2162143234,2130983.991592259,2350772.9429269964,High-Volume
4,2012-11-16,2333197.8554480583,2231834.1460159416,2441336.4810762736,High-Volume
4,2012-11-23,3032616.422339197,2936516.4286729805,3155935.9755010363,High-Volume
4,2012-11-30,2331894.275287549,2206907.966250903,2437998.8714648522,High-Volume
4,2012-12-07,2545178.5524861068,2442794.065500295,2668104.2068054783,High-Volume
4,2012-12-14,2964154.1368237752,2859058.7104905043,3081387.4513941216,High-Volume
4,2012-12-21,3763467.752014053,3666820.253475448,3884450.601919571,High-Volume
4,2012-12-28,2037593.8461451607,1933874.1453836188,2145029.7312170994,High-Volume
