Store,Rank,Total_Sales,Avg_Weekly_Sales,Std_Weekly_Sales,cv,holiday_lift_pct,Tier,MAPE_HoltWinters_%,MAPE_SeasonalNaive_%
20,1,301397792.46,2107676.8703496503,275900.56274241407,0.1309026856173849,7.247646030315202,High-Volume,2.5133666748401815,4.011750878858825
4,2,299543953.38,2094712.9606993007,266201.4422969778,0.12708253937002842,7.657427631039249,High-Volume,2.8318997536497985,2.9444084539222533
14,3,288999911.34,2020978.4009790209,317569.9494755081,0.15713673600948339,5.318809624792342,High-Volume,5.663029666548253,19.957557524478332
13,4,286517703.8,2003620.3062937064,265506.99577556964,0.13251362792719143,5.896123317887403,High-Volume,2.02917058219769,3.7515316471076123
2,5,275382440.98,1925751.3355244757,237683.69468179933,0.1234238763319183,8.622783841341652,High-Volume,2.4236936901753325,5.571320157431611
10,6,271617713.89,1899424.5726573425,302262.06250448094,0.159133490666391,12.236253562849143,High-Volume,2.5119435446785254,2.4687523277513277
27,7,253855916.88,1775216.2019580419,239930.1356881839,0.13515544496695317,7.126663892743013,High-Volume,3.356321710031005,4.997177948333937
6,8,223756130.64,1564728.1862937063,212525.85586197738,0.1358228590266383,8.0279969253084,High-Volume,3.3952117639289328,4.24727588940387
1,9,222402808.85,1555264.3975524476,155980.76776119994,0.10029212268130751,7.678962036295922,High-Volume,2.845400086975208,3.5241513859786666
39,10,207445542.47,1450668.1291608391,217466.4548330348,0.14990779108026006,7.48469116244499,High-Volume,4.439069538374317,8.97900544501558
19,11,206634862.1,1444999.0356643356,191722.63873007408,0.13268011534826388,9.89331765400454,High-Volume,2.5743632074402667,2.8027124588111287
31,12,199613905.5,1395901.437062937,125855.94293256958,0.09016105262945952,8.065393418709244,High-Volume,1.9897078385180285,2.386333986348709
23,13,198750617.85,1389864.4604895106,249788.03806798684,0.179721149197535,5.644491074173774,High-Volume,10.236863720962898,4.089918018200583
24,14,194016021.28,1356755.3935664336,167745.67756711715,0.12363737661375543,9.440228127645423,High-Volume,3.0703067134337307,3.7513352472252617
11,15,193962786.8,1356383.1244755245,165833.88786308072,0.12226183360044678,7.331017078138635,High-Volume,3.4671104887606856,4.84699579761834
28,16,189263680.58,1323522.241818182,181758.967538573,0.1373297416512492,12.680617485656231,High-Volume,6.389836864614173,5.005919386322715
41,17,181341934.89000002,1268125.418811189,187907.1627656376,0.14817711243560772,5.688117625489819,High-Volume,2.8039560724434547,8.481771438216839
32,18,166819246.16,1166568.154965035,138017.25208740897,0.11831049176166283,3.438318509677263,High-Volume,2.9642876215337304,3.071786415047238
18,19,155114734.21,1084718.421048951,176641.51083924595,0.16284549742266657,8.445538642566497,Mid-Volume,7.68195064967457,11.52988466986417
22,20,147075648.57,1028501.0389510489,161251.3506309915,0.15678287578148592,5.917647042585039,High-Volume,2.9451142466118423,3.401048861299421
12,21,144287230.15,1009001.6094405595,139166.87188038277,0.1379253219997774,13.894688045464122,Mid-Volume,2.234323144538189,2.4284975088434986
26,22,143416393.79,1002911.8446853146,110431.28814099332,0.11011066299216311,7.4503460408817945,High-Volume,3.1597997721919158,2.657979018207915
34,23,138249763.0,966781.5594405595,104630.16467575564,0.1082252383219858,8.412035697342702,High-Volume,2.020752210004037,3.441470578862401
40,24,137870309.79,964128.0404895104,119002.11285761207,0.12342978096269444,4.913189182348687,High-Volume,2.400399744378984,2.81696482163424
35,25,131520672.08,919724.9795804196,211243.45779146877,0.22968111389976414,18.307395400451142,Mid-Volume,16.857284160620566,7.492803344568482
8,26,129951181.13,908749.5183916084,106280.82988091325,0.11695283213906871,7.921214951307598,High-Volume,3.4720538214088186,4.858497419335642
17,27,127782138.83,893581.3904195804,112162.93608702623,0.1255206714123268,10.449561254663342,Mid-Volume,4.186334941702924,5.34051498511565
45,28,112395341.42,785981.4085314686,130168.5266351173,0.16561272979512937,6.915787045490385,Mid-Volume,3.5111515815009215,3.4851853876194814
21,29,108117878.92,756069.0833566433,128752.81285322401,0.17029239217349454,10.085206967357262,Mid-Volume,5.072592616850378,5.926267282782382
25,30,101061179.17,706721.5326573426,112976.7886004604,0.15986040240723456,5.031376590387615,Mid-Volume,2.940227529027567,4.367372571469522
43,31,90565435.41,633324.7231468532,40598.41326025312,0.06410362927019238,0.4451968575284182,Low-Volume,4.22525987572998,3.2528031091268126
15,32,89133683.92,623312.474965035,120538.65204319068,0.1933839877822955,14.478410052961689,Mid-Volume,2.3109390201227407,3.565543677270854
7,33,81598275.14,570617.3086713287,112585.46921978745,0.19730468653665728,19.439204243278496,Mid-Volume,3.3794256183037783,3.1935387958009174
